name,paper_author,team_lead,projects,affiliation_2024,sector_2024,github_handle
Paul W. Leu,1,0,6,"University of Pittsburgh, Pittsburgh, United States.",Academia,
Mingxuan Li,1,0,6,"University of Pittsburgh, Pittsburgh, United States.",Academia,
Zhenzhu Li,0,0,1,Imperial College London,,lizhenzhupearl
Viola Muning Li,1,1,26,"Merck KGaA, Darmstadt, Germany",Industry,vola-m-li
Tao Liu,1,0,25,"McGill University, Montréal, QC H3A 0G4. Canada.",Academia,taoliu032
Stanley Lo,1,0,44,"Department of Chemistry, University of Toronto, Toronto",Academia,stanlo229
Jakub Lála,1,0,17,"Imperial College London, South Kensington, London SW7 2AZ",Academia,jakublala
Osman Mamun,1,1,18,Cornell University,Academia,
Joseph Manning,0,0,23,University of Manchester,Academia,jrhmanning
Alan Mansour,0,0,42,MQS,,
Owen Melville,1,1,20,"Acceleration Consortium, University of Toronto, Toronto",Academia,owen-melville
Elisa Mendoza,0,0,25,,,elisammz
Shane Michtavy,0,1,14,University of Rochester,,
Milind,0,0,42,MQS,,
Michail Mitsakis,1,0,7,"Technical University of Denmark (DTU), Argous 64 \& Potamou 77, Kifissia",Academia,lordmikerahl
Seyed Mohamad Moosavi,0,0,34,University of Toronto,Academia,
Cameron Movassaghi,1,1,30;31,"University of California, Los Angeles, Los Angles",Academia,
Marcel Mueller,0,1,26,Merck KGaA / EMD group and University of Bonn,,marcelmbn
Madhav Reddy Muthyala,1,0,21,"The Ohio State University, Columbus, United States.",Academia,
Marcel Müller,1,0,26,"Merck KGaA, Darmstadt, Germany / University of Bonn",Academia,
Akhil S. Nair,1,1,18,Fritz-Haber Institute of the Max-Planck Society,Academia,
Bozhao Nan,1,1,40,"University of Notre Dame, Notre Dame, United States.",Academia,bznan
Vijay Narasimhan,0,1,23,EMD Electronics,Industry,
Xuan Vu Nguyen,0,0,28,Università degli Studi di Milano Statale,,XuanVuNguyen
Duc Nguyen,1,1,36,"Stanford University, Stanford, CA",Academia,
Daniele Ongari,1,1,11,"Syensqo, Viale Lombardia 20, Bollate",Industry,danieleongari
Anthony Onwuli,1,1,28;35,"Imperial College London, South Kensington, London SW7 2AZ",Academia,AntObi
